1-14 Jan 2024, Surlari, B-x
Time (Days)             B-x (nT)
1                       22582.78                 
1.0006944               22582.49                 
1.0013889               22583.08                 
1.0020833               22583.13                 
1.0027778               22583.23                 
1.0034722               22583.23                 
1.0041667               22583.56                 
1.0048611               22583.57                 
1.0055556               22583.76                 
1.00625                 22583.48                 
1.0069444               22583.58                 
1.0076389               22583.47                 
1.0083333               22583.48                 
1.0090278               22583.74                 
1.0097222               22583.71                 
1.0104167               22583.69                 
1.0111111               22583.59                 
1.0118056               22583.87                 
1.0125                  22583.56                 
1.0131944               22583.84                 
1.0138889               22583.67                 
1.0145833               22583.77                 
1.0152778               22583.69                 
1.0159722               22583.69                 
1.0166667               22583.71                 
1.0173611               22583.69                 
1.0180556               22583.55                 
1.01875                 22583.79                 
1.0194444               22583.71                 
1.0201389               22583.71                 
1.0208333               22583.63                 
1.0215278               22583.76                 
1.0222222               22583.78                 
1.0229167               22583.69                 
1.0236111               22583.69                 
1.0243056               22583.69                 
1.025                   22583.9                  
1.0256944               22583.84                 
1.0263889               22583.92                 
1.0270833               22583.83                 
1.0277778               22583.81                 
1.0284722               22583.79                 
1.0291667               22583.71                 
1.0298611               22583.98                 
1.0305556               22583.79                 
1.03125                 22583.89                 
1.0319444               22583.52                 
1.0326389               22583.91                 
1.0333333               22583.83                 
1.0340278               22583.44                 
1.0347222               22583.56                 
1.0354167               22583.16                 
1.0361111               22583.55                 
1.0368056               22583.25                 
1.0375                  22583.35                 
1.0381944               22583.36                 
1.0388889               22583.57                 
1.0395833               22583.29                 
1.0402778               22583.18                 
1.0409722               22583                    
1.0416667               22583.18                 
1.0423611               22582.93                 
1.0430556               22583.11                 
1.04375                 22582.84                 
1.0444444               22583.32                 
1.0451389               22583.01                 
1.0458333               22583.23                 
1.0465278               22583.42                 
1.0472222               22583.8                  
1.0479167               22583.54                 
1.0486111               22583.87                 
1.0493056               22584.47                 
1.05                    22584.38                 
1.0506944               22584.57                 
1.0513889               22584.67                 
1.0520833               22585.07                 
1.0527778               22585.19                 
1.0534722               22585.17                 
1.0541667               22584.91                 
1.0548611               22585.17                 
1.0555556               22584.99                 
1.05625                 22584.81                 
1.0569444               22584.73                 
1.0576389               22584.94                 
1.0583333               22584.83                 
1.0590278               22584.78                 
1.0597222               22584.43                 
1.0604167               22584.77                 
1.0611111               22584.8                  
1.0618056               22584.77                 
1.0625                  22584.87                 
1.0631944               22584.58                 
1.0638889               22584.96                 
1.0645833               22584.96                 
1.0652778               22585.05                 
1.0659722               22585.23                 
1.0666667               22585.24                 
1.0673611               22585.32                 
1.0680556               22585.14                 
1.06875                 22585.21                 
1.0694444               22585.02                 
1.0701389               22585.32                 
1.0708333               22585.38                 
1.0715278               22585.1                  
1.0722222               22585.44                 
1.0729167               22585.45                 
1.0736111               22585.37                 
1.0743056               22585.44                 
1.075                   22585.43                 
1.0756944               22585.02                 
1.0763889               22584.75                 
1.0770833               22584.72                 
1.0777778               22584.04                 
1.0784722               22584.11                 
1.0791667               22583.32                 
1.0798611               22583.08                 
1.0805556               22582.59                 
1.08125                 22582.66                 
1.0819444               22582.64                 
1.0826389               22582.74                 
1.0833333               22583.14                 
1.0840278               22583.37                 
1.0847222               22583.69                 
1.0854167               22584.23                 
1.0861111               22584.23                 
1.0868056               22584.73                 
1.0875                  22584.67                 
1.0881944               22584.98                 
1.0888889               22585.19                 
1.0895833               22584.8                  
1.0902778               22585.14                 
1.0909722               22584.73                 
1.0916667               22584.86                 
1.0923611               22584.49                 
1.0930556               22584.48                 
1.09375                 22584.2                  
1.0944444               22584.19                 
1.0951389               22584.01                 
1.0958333               22583.48                 
1.0965278               22583.49                 
1.0972222               22583.35                 
1.0979167               22583.49                 
1.0986111               22583.57                 
1.0993056               22583.59                 
1.1                     22583.87                 
1.1006944               22583.76                 
1.1013889               22583.6                  
1.1020833               22583.94                 
1.1027778               22584.09                 
1.1034722               22584.28                 
1.1041667               22584.6                  
1.1048611               22584.74                 
1.1055556               22585.02                 
1.10625                 22584.63                 
1.1069444               22585.02                 
1.1076389               22584.9                  
1.1083333               22585.07                 
1.1090278               22584.75                 
1.1097222               22584.72                 
1.1104167               22584.6                  
1.1111111               22585.07                 
1.1118056               22585.07                 
1.1125                  22585.38                 
1.1131944               22585.51                 
1.1138889               22585.69                 
