1-14 Jan 2024, Surlari, B-y
Time (Days)             B-y (nT)
1                       2454.74                  
1.0006944               2454.57                  
1.0013889               2454.7                   
1.0020833               2454.31                  
1.0027778               2454.32                  
1.0034722               2454.25                  
1.0041667               2454.02                  
1.0048611               2453.96                  
1.0055556               2453.98                  
1.00625                 2453.82                  
1.0069444               2453.83                  
1.0076389               2453.88                  
1.0083333               2453.82                  
1.0090278               2454.24                  
1.0097222               2454.44                  
1.0104167               2454.64                  
1.0111111               2454.69                  
1.0118056               2454.86                  
1.0125                  2454.95                  
1.0131944               2455.12                  
1.0138889               2454.9                   
1.0145833               2454.85                  
1.0152778               2454.64                  
1.0159722               2454.64                  
1.0166667               2454.44                  
1.0173611               2454.7                   
1.0180556               2454.09                  
1.01875                 2454.65                  
1.0194444               2454.51                  
1.0201389               2454.51                  
1.0208333               2454.3                   
1.0215278               2453.98                  
1.0222222               2453.85                  
1.0229167               2453.77                  
1.0236111               2453.77                  
1.0243056               2453.77                  
1.025                   2453.66                  
1.0256944               2453.32                  
1.0263889               2453.47                  
1.0270833               2453.39                  
1.0277778               2453.59                  
1.0284722               2453.72                  
1.0291667               2453.58                  
1.0298611               2453.87                  
1.0305556               2453.78                  
1.03125                 2453.79                  
1.0319444               2453.42                  
1.0326389               2453.6                   
1.0333333               2453.39                  
1.0340278               2453.28                  
1.0347222               2453.09                  
1.0354167               2453.05                  
1.0361111               2453.23                  
1.0368056               2453.13                  
1.0375                  2453.14                  
1.0381944               2453.07                  
1.0388889               2453.03                  
1.0395833               2452.8                   
1.0402778               2452.85                  
1.0409722               2452.7                   
1.0416667               2452.92                  
1.0423611               2452.43                  
1.0430556               2452.58                  
1.04375                 2452.28                  
1.0444444               2452.54                  
1.0451389               2452.57                  
1.0458333               2452.46                  
1.0465278               2452.55                  
1.0472222               2452.72                  
1.0479167               2452.36                  
1.0486111               2452.06                  
1.0493056               2452.13                  
1.05                    2452.05                  
1.0506944               2452.14                  
1.0513889               2452.15                  
1.0520833               2452.19                  
1.0527778               2451.94                  
1.0534722               2452.14                  
1.0541667               2451.78                  
1.0548611               2452.14                  
1.0555556               2451.99                  
1.05625                 2451.77                  
1.0569444               2451.56                  
1.0576389               2451.52                  
1.0583333               2451.57                  
1.0590278               2452.03                  
1.0597222               2451.59                  
1.0604167               2452.1                   
1.0611111               2451.83                  
1.0618056               2452.1                   
