1-14 Jan 2024, Surlari, B-z
Time (Days)             B-z (nT)
1                       43235.3                  
1.0006944               43235.5                  
1.0013889               43235.1                  
1.0020833               43235.3                  
1.0027778               43235.1                  
1.0034722               43235.2                  
1.0041667               43235                    
1.0048611               43235.3                  
1.0055556               43235                    
1.00625                 43235.2                  
1.0069444               43235.3                  
1.0076389               43235.2                  
1.0083333               43235.4                  
1.0090278               43235.3                  
1.0097222               43235.4                  
1.0104167               43235.5                  
1.0111111               43235.7                  
1.0118056               43235.5                  
1.0125                  43235.6                  
1.0131944               43235.4                  
1.0138889               43235.7                  
1.0145833               43235.4                  
1.0152778               43235.6                  
1.0159722               43235.4                  
1.0166667               43235.4                  
1.0173611               43235.3                  
1.0180556               43235.5                  
1.01875                 43235.4                  
1.0194444               43235.4                  
1.0201389               43235.4                  
1.0208333               43235.4                  
1.0215278               43235.3                  
1.0222222               43235.4                  
1.0229167               43235.3                  
1.0236111               43235.3                  
1.0243056               43235.1                  
1.025                   43235.1                  
1.0256944               43235.1                  
1.0263889               43235.1                  
1.0270833               43235                    
1.0277778               43235.2                  
1.0284722               43235.3                  
1.0291667               43235.3                  
1.0298611               43235.2                  
1.0305556               43235.3                  
1.03125                 43235.1                  
1.0319444               43235.5                  
1.0326389               43235.1                  
1.0333333               43235                    
1.0340278               43235.3                  
1.0347222               43235.1                  
1.0354167               43235.3                  
1.0361111               43235.2                  
1.0368056               43235.2                  
1.0375                  43235.2                  
1.0381944               43235.1                  
1.0388889               43234.9                  
1.0395833               43235.1                  
1.0402778               43235                    
1.0409722               43235.2                  
1.0416667               43234.9                  
1.0423611               43235.2                  
1.0430556               43234.9                  
1.04375                 43235.2                  
1.0444444               43234.8                  
1.0451389               43235.1                  
1.0458333               43235.1                  
1.0465278               43235                    
1.0472222               43234.7                  
1.0479167               43235                    
1.0486111               43234.9                  
1.0493056               43234.6                  
1.05                    43234.8                  
1.0506944               43234.8                  
1.0513889               43234.8                  
1.0520833               43234.8                  
1.0527778               43234.8                  
1.0534722               43234.7                  
1.0541667               43235.1                  
1.0548611               43234.9                  
1.0555556               43235                    
1.05625                 43235.2                  
1.0569444               43235.2                  
1.0576389               43235.2                  
1.0583333               43235.1                  
1.0590278               43235                    
1.0597222               43235.4                  
1.0604167               43235.2                  
1.0611111               43235.1                  
1.0618056               43235.1                  
